# x_m,y_m,w_tr_right_m,w_tr_left_m
2.3250,-1.9250,0.7000,0.7000
2.3750,-1.9250,0.7000,0.7000
2.4250,-1.9250,0.7000,0.7000
2.4750,-1.9250,0.7000,0.7000
2.5250,-1.9250,0.7000,0.7000
2.5750,-1.8750,0.7159,0.7159
2.6250,-1.8750,0.7071,0.7071
2.6750,-1.8750,0.7018,0.7018
2.7250,-1.8750,0.7000,0.7000
2.7750,-1.8750,0.7018,0.7018
2.8250,-1.8750,0.7071,0.7071
2.8750,-1.8750,0.7159,0.7159
2.9250,-1.8750,0.7280,0.7280
2.9750,-1.8750,0.7159,0.7159
3.0250,-1.8750,0.7071,0.7071
3.0750,-1.8750,0.7018,0.7018
3.1250,-1.8750,0.6964,0.6964
3.1750,-1.8750,0.6801,0.6801
3.2250,-1.8250,0.7159,0.7159
3.2750,-1.8250,0.7071,0.7071
3.3250,-1.7750,0.7517,0.7517
3.3750,-1.7750,0.7500,0.7500
3.4250,-1.7250,0.8000,0.8000
3.4750,-1.7250,0.8000,0.8000
3.5250,-1.6750,0.8276,0.8276
3.5750,-1.6250,0.8062,0.8062
3.6250,-1.6250,0.8201,0.8201
3.6750,-1.5750,0.8201,0.8201
3.7250,-1.5750,0.8062,0.8062
3.7750,-1.5250,0.8276,0.8276
3.8250,-1.4750,0.8485,0.8485
3.8750,-1.4250,0.8485,0.8485
3.9250,-1.3750,0.8485,0.8485
3.9750,-1.3250,0.8485,0.8485
4.0250,-1.2750,0.8500,0.8500
4.0250,-1.2250,0.8201,0.8201
4.0750,-1.1750,0.8322,0.8322
4.1250,-1.1250,0.8500,0.8500
4.1250,-1.0750,0.8276,0.8276
4.1250,-1.0250,0.8062,0.8062
4.1250,-0.9750,0.7826,0.7826
4.1750,-0.9250,0.8078,0.8078
4.1750,-0.8750,0.7906,0.7906
4.1750,-0.8250,0.7762,0.7762
4.1750,-0.7750,0.7649,0.7649
4.2250,-0.7250,0.8062,0.8062
4.2250,-0.6750,0.8016,0.8016
4.2250,-0.6250,0.8000,0.8000
4.2750,-0.5750,0.8515,0.8515
4.2750,-0.5250,0.8559,0.8559
4.2750,-0.4750,0.8631,0.8631
4.2750,-0.4250,0.8732,0.8732
4.3250,-0.3750,0.9341,0.9341
4.3250,-0.3250,0.9487,0.9487
4.3250,-0.2750,0.9618,0.9618
4.3250,-0.2250,0.9708,0.9708
4.3750,-0.1750,1.0308,1.0308
4.3750,-0.1250,1.0440,1.0440
4.3750,-0.0750,1.0595,1.0595
4.3750,-0.0250,1.0770,1.0770
4.4250,0.0250,1.1402,1.1402
4.4250,0.0750,1.1543,1.1543
4.4250,0.1250,1.1705,1.1705
4.4250,0.1750,1.1885,1.1885
4.4750,0.2250,1.2166,1.2166
4.4750,0.2750,1.2258,1.2258
4.4250,0.3250,1.2349,1.2349
4.4250,0.3750,1.2540,1.2540
4.4250,0.4250,1.2500,1.2500
4.3750,0.4750,1.2530,1.2530
4.3750,0.5250,1.2649,1.2649
4.3250,0.5750,1.2530,1.2530
4.3250,0.6250,1.2777,1.2777
4.2750,0.6750,1.2619,1.2619
4.2750,0.7250,1.2903,1.2903
4.2250,0.7750,1.2777,1.2777
4.2250,0.8250,1.2971,1.2971
4.1750,0.8750,1.2903,1.2903
4.1750,0.9250,1.2971,1.2971
4.1250,0.9750,1.3000,1.3000
4.0750,1.0250,1.2748,1.2748
4.0250,1.0750,1.2500,1.2500
3.9750,1.1250,1.2166,1.2166
3.9250,1.1250,1.2258,1.2258
3.8750,1.1750,1.1885,1.1885
3.8250,1.1750,1.2000,1.2000
3.7750,1.2250,1.1500,1.1500
3.7250,1.2250,1.1500,1.1500
